# Server version 0.08 running on wpa152248.wireless.mcgill.ca:8123
# Game ID: 53
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Tue Mar 29 17:11:08 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on localhost
# Player 2: Player-1, '260568170', running on localhost
START Player-0 RandomHusPlayer
START Player-1 260568170
PIT 0 9
PIT 1 20
PIT 0 12
PIT 1 1
PIT 0 2
PIT 1 21
PIT 0 18
PIT 1 23
PIT 0 24
PIT 1 16
PIT 0 26
PIT 1 14
PIT 0 6
PIT 1 20
PIT 0 0
PIT 1 25
PIT 0 13
PIT 1 19
PIT 0 15
PIT 1 10
PIT 0 16
PIT 1 25
PIT 0 27
PIT 1 21
PIT 0 17
PIT 1 23
PIT 0 18
PIT 1 24
GAMEOVER WINNER 1
# Game ended: Tue Mar 29 17:11:11 EDT 2016
