# Server version 0.08 running on 142.157.219.142:8123
# Game ID: 164
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Sat Apr 02 23:42:35 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on 142.157.219.142
# Player 2: Player-1, '260568170', running on 142.157.219.142
START Player-0 RandomHusPlayer
START Player-1 260568170
PIT 0 23
PIT 1 22
PIT 0 8
PIT 1 19
PIT 0 3
PIT 1 14
PIT 0 15
PIT 1 18
PIT 0 20
PIT 1 10
PIT 0 12
PIT 1 24
PIT 0 1
PIT 1 25
PIT 0 6
PIT 1 7
PIT 0 14
PIT 1 25
PIT 0 17
PIT 1 13
GAMEOVER WINNER 1
# Game ended: Sat Apr 02 23:42:42 EDT 2016
