# Server version 0.08 running on localhost:8123
# Game ID: 264
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Sun Apr 03 15:23:47 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on localhost
# Player 2: Player-1, '260568170', running on localhost
START Player-0 RandomHusPlayer
START Player-1 260568170
PIT 0 12
PIT 1 22
PIT 0 19
PIT 1 3
PIT 0 3
PIT 1 24
PIT 0 18
PIT 1 15
PIT 0 6
PIT 1 25
PIT 0 20
PIT 1 24
PIT 0 0
PIT 1 25
PIT 0 14
PIT 1 22
PIT 0 7
PIT 1 23
PIT 0 25
PIT 1 25
GAMEOVER WINNER 1
# Game ended: Sun Apr 03 15:23:50 EDT 2016
