# Server version 0.08 running on web099029.wireless.mcgill.ca:8123
# Game ID: 325
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Sun Apr 03 16:05:10 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on localhost
# Player 2: Player-1, '260568170', running on localhost
START Player-0 RandomHusPlayer
START Player-1 260568170
PIT 0 20
PIT 1 23
PIT 0 10
PIT 1 16
PIT 0 1
PIT 1 14
PIT 0 4
PIT 1 13
PIT 0 10
PIT 1 23
PIT 0 5
PIT 1 20
PIT 0 25
PIT 1 21
PIT 0 6
PIT 1 24
PIT 0 0
PIT 1 13
GAMEOVER WINNER 1
# Game ended: Sun Apr 03 16:05:11 EDT 2016
