# Server version 0.08 running on web099029.wireless.mcgill.ca:8123
# Game ID: 366
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Sun Apr 03 17:04:34 EDT 2016
# Player 1: Player-0, 'old', running on localhost
# Player 2: Player-1, '260568170', running on localhost
START Player-0 old
START Player-1 260568170
PIT 0 3
PIT 1 21
PIT 0 16
PIT 1 14
PIT 0 18
PIT 1 5
PIT 0 9
PIT 1 15
PIT 0 22
PIT 1 27
PIT 0 1
PIT 1 20
PIT 0 26
PIT 1 17
PIT 0 27
PIT 1 28
PIT 0 15
PIT 1 23
PIT 0 0
PIT 1 8
GAMEOVER WINNER 1
# Game ended: Sun Apr 03 17:05:23 EDT 2016
