# Server version 0.08 running on web099073.wireless.mcgill.ca:8123
# Game ID: 388
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Tue Apr 05 12:21:14 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on localhost
# Player 2: Player-1, '260568170', running on localhost
START Player-0 RandomHusPlayer
START Player-1 260568170
PIT 0 23
PIT 1 22
PIT 0 1
PIT 1 17
PIT 0 10
PIT 1 16
PIT 0 5
PIT 1 29
PIT 0 0
PIT 1 21
PIT 0 14
PIT 1 20
PIT 0 18
PIT 1 19
PIT 0 20
PIT 1 21
PIT 0 26
PIT 1 17
PIT 0 28
PIT 1 26
PIT 0 31
PIT 1 16
PIT 0 0
PIT 1 31
GAMEOVER WINNER 1
# Game ended: Tue Apr 05 12:21:15 EDT 2016
