# Server version 0.08 running on wpa153047.wireless.mcgill.ca:8123
# Game ID: 418
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Wed Apr 06 10:31:18 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on localhost
# Player 2: Player-1, '260568170', running on localhost
START Player-0 RandomHusPlayer
START Player-1 260568170
PIT 0 4
PIT 1 23
PIT 0 1
PIT 1 19
PIT 0 2
PIT 1 22
PIT 0 7
PIT 1 27
PIT 0 16
PIT 1 23
PIT 0 20
PIT 1 18
PIT 0 8
PIT 1 29
PIT 0 0
PIT 1 21
PIT 0 4
PIT 1 18
PIT 0 15
PIT 1 7
GAMEOVER WINNER 1
# Game ended: Wed Apr 06 10:31:19 EDT 2016
