# Server version 0.08 running on web099106.wireless.mcgill.ca:8123
# Game ID: 422
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Wed Apr 06 13:34:11 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on localhost
# Player 2: Player-1, '260568170', running on localhost
START Player-0 RandomHusPlayer
START Player-1 260568170
PIT 0 21
PIT 1 22
PIT 0 2
PIT 1 4
PIT 0 20
PIT 1 16
PIT 0 12
PIT 1 17
PIT 0 9
PIT 1 20
PIT 0 17
PIT 1 22
PIT 0 23
PIT 1 27
PIT 0 8
PIT 1 24
PIT 0 0
PIT 1 28
PIT 0 24
PIT 1 10
PIT 0 14
PIT 1 28
GAMEOVER WINNER 1
# Game ended: Wed Apr 06 13:34:13 EDT 2016
